l2_id,l1_code,name_ko,description
02-insurance-info,02,보험 정보,"실손·보장성 보험의 청구, 약관, 비교, 제도 등 보험 일반 정보. 자동차보험(06)·펫보험(13)은 제외."
02-pension-system,02,연금 제도,"국민·퇴직·기초·주택연금 등 연금 제도와 실무 절차. 연금저축 등 금융상품은 02-연금저축, 노후 설계는 02-재무 설계 담당."
03-back-joint-health,03,허리·관절 건강,허리·무릎·어깨·손목 등 부위별 관절 관리 생활 정보. 자세 습관은 03-바른 자세 교정 담당.
03-eye-health,03,눈 건강,"눈 피로, 건조, 시력 관리, 보호 습관 등 눈 건강 생활 정보."
03-health-checkup,03,건강검진 가이드,"국가·직장 건강검진의 대상, 준비, 결과 해석, 비용 등 검진 실무 정보."
03-immunity-care,03,면역력 관리,면역과 생활 요소(수면·스트레스·운동)의 관계 정보. 감염병 예방 수칙은 03-질병 예방 담당.
03-mens-health,03,남성 건강,"남성 갱년기, 전립선, 탈모 등 남성 특화 건강 생활 정보."
03-oral-health,03,구강 건강,"양치, 치실, 스케일링, 치과 검진 등 구강 관리 생활 정보."
03-posture-care,03,바른 자세 교정,"거북목, 라운드숄더, 앉는 자세 등 자세 습관 교정 정보. 부위 통증 관리는 03-허리·관절 담당."
03-quit-smoking-drinking,03,금연·금주,"금연·절주 도전과 지원 제도, 습관 전환 정보."
03-senior-health,03,시니어 건강,"어르신 낙상 예방, 복약 관리, 검진, 돌봄 등 시니어 건강 생활 정보."
03-womens-health,03,여성 건강,"생리 주기, 갱년기, 여성 검진 등 여성 특화 건강 생활 정보."
04-athleisure,04,애슬레저,"운동복의 일상화 — 레깅스·요가복 코디, 브랜드, 소재 정보. 운동 자체는 03, 일반 코디는 04-스타일링 담당."
04-golf-wear,04,골프웨어,"골프장 복장 — 드레스코드, 계절별 라운딩 복장, 골프화·모자·장갑. 레슨·클럽 등 장비는 05-골프 레슨·장비 담당."
04-guest-look,04,하객룩,결혼식·돌잔치·장례식·상견례 등 경조사 복장과 매너. 임산부 복장은 04-임부복 담당.
04-jewelry-watch,04,주얼리·시계,"귀금속·시계 — 소재, 관리, 선물, 예물. 모자·가방·스카프 등 잡화는 04-액세서리 담당."
04-luxury-resell,04,명품·리셀,"명품 구매·감정·관리와 리셀 시장. 가방 일반은 04-가방, 브랜드 일반은 04-브랜드 리뷰 담당."
04-maternity-wear,04,임부복,"임신 기간 의류 — 시기별 전환, 필수템, 속옷·신발. 육아 생활은 16 담당."
05-badminton,05,배드민턴,"생활체육 배드민턴 — 장비, 규칙, 동호회, 연습법."
05-golf-lesson-gear,05,골프 레슨·장비,"골프 입문 레슨과 클럽·용품. 복장은 04-골프웨어, 대회는 05-골프 대회 담당."
05-running-start,05,러닝 입문,"일상 러닝 입문 — 시작법, 러닝화, 코스, 크루. 대회·풀코스는 05-마라톤 담당."
05-swimming,05,수영,수영장 강습·영법·용품·에티켓. 바다 수상레저는 14 담당.
05-table-tennis,05,탁구,"생활체육 탁구 — 라켓·러버, 규칙, 탁구장, 연습법."
05-tennis,05,테니스,"생활체육 테니스 — 입문, 레슨, 코트 예약, 장비. 그랜드슬램 등 대회 구조 포함(해외 스포츠는 테니스 제외)."
05-winter-sports,05,동계 스포츠,스키·보드·스케이트 등 동계 종목과 장비·강습. 스키장 숙박 여행은 11 담당.
06-camping-car,06,캠핑카·카라반,"캠핑카·카라반 전용 — 렌트, 견인, 개조(합법 기준 포함). 일반차 차박은 06-자동차 여행, 일반 튜닝은 06-차량 튜닝 담당."
06-car-accident-response,06,차량 사고 대처,"사고 발생 후 절차 — 현장 대응, 보험 접수, 과실, 합의. 사고 예방·안전장비는 06-차량 안전 담당."
06-car-tuning,06,차량 튜닝,"합법 튜닝·구조변경 — 휠, 썬팅, 머플러, 랩핑. 캠핑카 개조는 06-캠핑카 담당."
06-drivers-license,06,운전면허,자동차 면허 취득·갱신·벌점. 이륜차 면허는 06-오토바이 담당.
06-motorcycle,06,오토바이,"이륜차 전반 — 면허, 보험, 검사, 장비, 투어링."
07-ai-creative-tools,07,AI 창작 도구,이미지·음악·영상·음성 생성 도구와 저작권 이슈. 텍스트 챗봇 활용은 07-ChatGPT 팁 담당.
07-coding-start,07,코딩 입문,"프로그래밍 학습 입문 — 언어 선택, 독학, 부트캠프. 노코드는 07-업무 자동화·노코드 담당."
07-creator-gear,07,크리에이터 장비,"방송·촬영 장비 — 마이크, 조명, 카메라, 캡처보드. 웹캠은 07-화상회의, 키보드·모니터·이어폰은 각 전용 L2 담당."
07-nocode-automation,07,업무 자동화·노코드,노코드 도구와 업무 자동화 — 시트·폼·봇·RPA. 프로그래밍 학습은 07-코딩 입문 담당.
07-smart-home,07,스마트홈 활용,"가정 자동화 활용 — 루틴, 음성비서, 스마트 기기 세팅, 절전. IoT 기술·표준·생태계는 07-사물인터넷 담당."
08-beauty-device,08,뷰티 디바이스,"홈 뷰티 기기 — LED 마스크, 클렌저, 고주파, 스타일러. 제모기는 08-제모·왁싱, 네일 램프는 08-네일아트 담당."
08-hair-removal,08,제모·왁싱,"홈 제모 중심 — 면도, 왁싱, 제모 크림, 가정용 제모기. 레이저 등 시술은 08-시술 정보 담당."
08-nail-art,08,네일아트,"네일 디자인·셀프 아트 — 젤네일, 스티커, 네일샵. 손톱 건강은 08-네일 케어 담당."
08-perfume,08,향수,"신체 향수 — 노트, 계열, 시향, 보관. 룸스프레이·디퓨저는 15 담당."
08-scalp-care,08,두피 케어,"두피 스킨케어 한정 — 비듬, 유분, 스케일링, 감는 주기. 탈모는 03 담당(절대 침범 금지)."
