l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
10-food-trend-yearly-overview,10-food-trend,10,yearly-overview,올해 푸드 트렌드 정리,올해 음식 유행 한눈에 정리,info,start,올해 음식 유행입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-convenience-store-culture,10-food-trend,10,convenience-store-culture,편의점 신상 문화,편의점 신상 챙겨 먹는 재미,review,tip,편의점 신상 문화입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-dessert-fads-history,10-food-trend,10,dessert-fads-history,디저트 유행 변천사,유행 디저트로 보는 시대,review,review,디저트 유행사입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-spicy-craze,10-food-trend,10,spicy-craze,매운맛 열풍 이야기,점점 매워지는 유행의 이유,info,issue,매운맛 열풍입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-zero-sugar-wave,10-food-trend,10,zero-sugar-wave,제로 슈거 흐름,제로 음료 전성시대 보기,info,issue,제로 슈거 흐름입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-grandmillennial-taste,10-food-trend,10,grandmillennial-taste,할매니얼 입맛 유행,할매니얼 음식 인기 이유,info,issue,할매니얼 유행입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-trend-origins,10-food-trend,10,trend-origins,푸드 트렌드 어디서 시작될까,유행 음식의 진원지 찾기,info,issue,유행 진원지 탐구입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-sns-viral-foods,10-food-trend,10,sns-viral-foods,SNS 챌린지 음식,SNS에서 터진 음식 유행,review,issue,SNS 음식 유행입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-food-festivals,10-food-trend,10,food-festivals,푸드 페스티벌 소식,먹거리 축제 소식 챙기기,news,issue,먹거리 축제 소식입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-dining-out-prices,10-food-trend,10,dining-out-prices,외식 물가와 트렌드,외식 트렌드와 물가 흐름,info,issue,외식 물가 흐름입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-retro-food-revival,10-food-trend,10,retro-food-revival,레트로 식품 부활,추억의 간식 다시 뜨는 이유,info,issue,레트로 식품 부활입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-food-tech-wave,10-food-trend,10,food-tech-wave,푸드테크 새 흐름,대체육과 푸드테크 흐름,news,issue,푸드테크 흐름입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-kfood-global,10-food-trend,10,kfood-global,한식 세계화 이야기,K푸드 해외 인기 들여다보기,review,issue,K푸드 세계화입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-seasonal-limited,10-food-trend,10,seasonal-limited,시즌 한정판 음식,계절 한정 메뉴의 유혹,info,tip,시즌 한정판입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-food-trend-next-big-thing,10-food-trend,10,next-big-thing,다음 유행 음식 예측,다음에 뜰 음식 미리 보기,news,issue,다음 유행 예측입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-world-food-challenge,10-global-cuisine,10,world-food-challenge,세계 요리 도장깨기,세계 요리 하나씩 도전하기,info,start,세계 요리 도전입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-hummus,10-global-cuisine,10,hummus,후무스 만들기,병아리콩 후무스 만들기,howto,tip,후무스 만들기입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-paella,10-global-cuisine,10,paella,빠에야 도전,스페인 빠에야 집에서 도전,howto,tip,빠에야 도전입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-kebab,10-global-cuisine,10,kebab,케밥 집에서 굽기,터키식 케밥 만들어 보기,howto,tip,케밥 만들기입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-poke-bowl,10-global-cuisine,10,poke-bowl,포케 하와이안 한 그릇,하와이식 포케 만들어 보기,info,tip,포케 만들기입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-tagine,10-global-cuisine,10,tagine,모로코 타진 요리,타진 냄비 없이 타진 맛내기,info,tip,타진 요리입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-greek-dishes,10-global-cuisine,10,greek-dishes,그리스 요리 즐기기,수블라키 같은 그리스 요리,info,tip,그리스 요리입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-ceviche,10-global-cuisine,10,ceviche,세비체 남미 요리,페루 세비체 어떤 요리일까,info,tip,세비체 알아보기입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-goulash,10-global-cuisine,10,goulash,동유럽 가정식 굴라시,헝가리식 굴라시 만들어 보기,howto,tip,굴라시 만들기입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-schnitzel,10-global-cuisine,10,schnitzel,독일 슈니첼 만들기,돈까스와 슈니첼 뭐가 다를까,compare,tip,슈니첼 비교입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-world-spices,10-global-cuisine,10,world-spices,세계 향신료 여행,나라별 대표 향신료 알기,info,tip,세계 향신료입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-world-breakfasts,10-global-cuisine,10,world-breakfasts,세계 아침 식사 구경,나라별 아침 밥상 구경,review,tip,세계 아침 밥상입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-movie-foods,10-global-cuisine,10,movie-foods,영화 속 세계 음식,영화에 나온 그 요리들,review,review,영화 속 요리입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-imported-ingredients,10-global-cuisine,10,imported-ingredients,세계 요리 재료 구하기,수입 식재료 어디서 살까,info,tip,수입 재료 구하기입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-global-cuisine-month-world-tour,10-global-cuisine,10,month-world-tour,홈메이드 세계 일주 한 달,한 달 세계 요리 일주 후기,review,review,세계 요리 일주기입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-healthy-convenience-food-choosing-criteria,10-healthy-convenience-food,10,choosing-criteria,건강 간편식 고르는 법,건강한 간편식 고르는 기준,info,start,간편식 선택 기준입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-healthy-convenience-food-label-reading,10-healthy-convenience-food,10,label-reading,성분표 당 나트륨 보기,간편식 영양성분표 읽기,howto,tip,영양성분표 읽기입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
10-healthy-convenience-food-salad-subscription,10-healthy-convenience-food,10,salad-subscription,샐러드 구독 서비스,샐러드 정기배송 써볼까,review,issue,샐러드 구독 검토입니다.,claude_direct,2026-06-12T07:30:52.336760+00:00
