l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
01-actor-filmography-actor-career-details,01-actor-filmography,01,actor-career-details,배우 활동 내역,배우 활동 내역 상세,info,tip,배우의 활동 내역을 상세히 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-debut-work,01-actor-filmography,01,actor-debut-work,배우 데뷔작,배우 데뷔작 찾기,info,tip,배우의 데뷔작 정보를 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-drama-filmography,01-actor-filmography,01,actor-drama-filmography,배우 드라마 출연 이력,배우 드라마 출연 이력 보기,info,tip,배우의 드라마 출연 이력을 확인하는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-filmography,01-actor-filmography,01,actor-filmography,배우 출연작 리스트,배우 필모그래피 - 출연 영화 드라마 작품 모음,info,tip,배우별 출연 영화 및 드라마 작품 활동을 상세히 기록합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-filmography-site,01-actor-filmography,01,actor-filmography-site,배우 필모그래피 사이트,배우 필모그래피 사이트 모음,info,tip,배우의 필모그래피를 제공하는 웹사이트 모음,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-major-works,01-actor-filmography,01,actor-major-works,배우 주요 작품,배우 주요 작품 모음 보기,info,tip,배우의 주요 작품을 모아서 보기,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-notable-works,01-actor-filmography,01,actor-notable-works,배우 대표작,배우의 대표작은 무엇인가,info,tip,배우의 대표작 정보를 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-salary-comparison,01-actor-filmography,01,actor-salary-comparison,배우 출연료,배우 출연료 비교,info,tip,배우들의 출연료를 비교 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-award-winning-actor-filmography,01-actor-filmography,01,award-winning-actor-filmography,연기대상 수상자 필모그래피,연기대상 수상자 필모그래피 보기,info,tip,연기대상 수상자의 필모그래피를 확인하는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-award-winning-actors,01-actor-filmography,01,award-winning-actors,영화제 수상 배우,영화제 수상 배우 리스트,info,tip,영화제에서 수상한 배우 리스트를 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-baeu-filmography-see,01-actor-filmography,01,baeu-filmography-see,배우 필모그래피 보는 법,배우 필모그래피 쉽게 보는 법,howto,tip,배우의 영화 및 드라마 출연작을 쉽게 확인하는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-drama-actor-info,01-actor-filmography,01,drama-actor-info,드라마 배우 정보,드라마 배우 정보 쉽게 찾기,info,tip,드라마에 출연한 배우의 정보를 쉽게 찾는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-korean-actor-filmography,01-actor-filmography,01,korean-actor-filmography,국내 배우 필모그래피,국내 배우 작품활동 내역,info,tip,국내 배우의 작품활동 내역을 자세히 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-korean-actor-movie-graph,01-actor-filmography,01,korean-actor-movie-graph,한국 배우 영화 출연작,한국 배우 영화 그래프 보기,info,tip,한국 배우의 영화 출연작을 그래프로 확인하기,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-movie-actor-rating,01-actor-filmography,01,movie-actor-rating,영화 배우 평점,영화 배우 평점 보기,info,review,영화에 출연한 배우의 평점을 확인하는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-awards-award-beauty-trend-analysis,01-awards,01,award-beauty-trend-analysis,시상식 뷰티 트렌드 분석,시상식 뷰티 트렌드 분석,info,tip,시상식 뷰티 트렌드를 분석합니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-online-watching-guide,01-awards,01,award-online-watching-guide,시상식 온라인 시청 방법,시상식 온라인 시청 가이드,howto,tip,시상식 온라인 시청 방법을 알려드립니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-acceptance-speeches,01-awards,01,award-show-acceptance-speeches,시상식 수상 소감 모음,시상식 수상 소감 베스트,info,tip,시상식 수상자들의 감동적인 소감 모음,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-highlights,01-awards,01,award-show-highlights,시상식 하이라이트 영상,시상식 하이라이트 영상 모음,info,tip,시상식의 감동적인 순간들,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-host-role,01-awards,01,award-show-host-role,시상식 진행자 역할,시상식 MC 역할과 책임,info,tip,시상식 진행자의 역할과 책임에 대해 알아보기,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-performance-footage,01-awards,01,award-show-performance-footage,시상식 공연 실황,시상식 공연 실황 영상,info,tip,시상식 공연 실황 영상 모음,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-theme-meaning,01-awards,01,award-show-theme-meaning,시상식 테마 이해,시상식 테마와 의미,info,tip,시상식 테마의 숨겨진 의미,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-celebrity-award-controversy,01-awards,01,celebrity-award-controversy,연예계 시상식 논란 사례,시상식 논란 사례 모음,info,tip,연예계 시상식 논란 사례를 정리합니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-celebrity-award-makeup-tutorial,01-awards,01,celebrity-award-makeup-tutorial,연예인 시상식 메이크업,시상식 메이크업 튜토리얼,howto,tip,연예인 시상식 메이크업 방법을 알려드립니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-celebrity-fashion-award-trend,01-awards,01,celebrity-fashion-award-trend,연예인 패션 시상식 트렌드,시상식 패션 트렌드 분석,info,tip,연예인들의 시상식 패션 트렌드를 분석합니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-domestic-and-foreign-award-show-schedule,01-awards,01,domestic-and-foreign-award-show-schedule,국내외 시상식 일정,국내외 시상식 일정 정리,info,tip,국내외 시상식 일정을 한눈에 보기,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-global-award-winner-prediction,01-awards,01,global-award-winner-prediction,글로벌 시상식 수상자 예측,글로벌 시상식 수상자 전망,info,tip,글로벌 시상식 수상자를 예측합니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-korean-award-nominees,01-awards,01,korean-award-nominees,국내 시상식 후보자 명단,국내 시상식 후보자 리스트,info,tip,국내 시상식 후보자 명단을 제공합니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-online-viewing-guide-for-awards,01-awards,01,online-viewing-guide-for-awards,국내 연예계 시상식 시청 가이드,국내외 시상식 온라인 시청 방법,howto,tip,국내외 연예계 시상식을 온라인으로 시청하는 방법을 알려드립니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
