l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
05-table-tennis-starter-racket,05-table-tennis,05,starter-racket,탁구 입문 라켓,탁구 첫 라켓 고르는 법,info,start,입문 라켓 선택입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-shakehand-vs-penholder,05-table-tennis,05,shakehand-vs-penholder,셰이크 펜홀더 차이,셰이크와 펜홀더 그립 비교,compare,compare,그립 방식 비교입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-rubber-types,05-table-tennis,05,rubber-types,러버 종류 교체 주기,러버 종류와 교체 주기,info,tip,러버 종류와 관리입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-forehand-drive,05-table-tennis,05,forehand-drive,기본 포핸드 연습,포핸드 드라이브 기본 연습,howto,howto,포핸드 기본 연습입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-serve-rules,05-table-tennis,05,serve-rules,탁구 규칙 서브,탁구 서브 규칙 이해하기,info,tip,서브 규칙 이해입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-local-clubs-find,05-table-tennis,05,local-clubs-find,동네 탁구장 찾기,동네 탁구장 이용 안내,info,local,탁구장 이용 안내입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-club-joining,05-table-tennis,05,club-joining,탁구 동호회 들어가기,탁구 동호회 가입해 보기,howto,tip,동호회 가입 안내입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-ball-grades,05-table-tennis,05,ball-grades,탁구공 등급 차이,탁구공 별 등급 차이 알기,info,tip,탁구공 등급 차이입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-doubles-rules,05-table-tennis,05,doubles-rules,복식 경기 규칙,탁구 복식 순서와 규칙 이해,info,tip,복식 규칙 이해입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-fitness-benefits,05-table-tennis,05,fitness-benefits,탁구 운동 효과,탁구가 주는 운동 효과,info,tip,탁구 운동 효과입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-home-practice,05-table-tennis,05,home-practice,집에서 탁구 연습,집에서 하는 탁구 연습법,howto,tip,집 연습 방법입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-dedicated-shoes,05-table-tennis,05,dedicated-shoes,탁구화 필요할까,탁구 전용화 필요한 이유,info,tip,탁구화 필요성입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-lesson-costs,05-table-tennis,05,lesson-costs,레슨 비용과 기간,탁구 레슨 비용 알아보기,cost,tip,레슨 비용 안내입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
05-table-tennis-amateur-tournament,05-table-tennis,05,amateur-tournament,생활체육 탁구 대회,탁구 동호인 대회 참가기,review,review,동호인 대회 참가기입니다.,claude_direct,2026-06-12T05:34:31.846548+00:00
