l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
02-insurance-info-silson-claim-process,02-insurance-info,02,silson-claim-process,실손보험 청구 방법,실손보험 청구 절차와 필요 서류,howto,howto,실손 청구 절차와 서류를 안내합니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-policy-terms-reading,02-insurance-info,02,policy-terms-reading,보험 약관 읽는 법,보험 약관에서 꼭 봐야 할 항목,info,tip,약관의 핵심 확인 항목을 짚어줍니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-renewable-vs-nonrenewable,02-insurance-info,02,renewable-vs-nonrenewable,갱신형 비갱신형 차이,갱신형과 비갱신형 보험 차이 비교,compare,compare,두 유형의 보험료 구조를 비교합니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-dormant-insurance-money,02-insurance-info,02,dormant-insurance-money,휴면보험금 조회,잠자는 휴면보험금 찾는 방법,howto,tip,미수령 보험금 조회 경로를 안내합니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-surrender-value-check,02-insurance-info,02,surrender-value-check,보험 해지 환급금 확인,보험 해지 전 환급금 확인하는 법,info,issue,해지 전 환급금과 손해 여부 확인입니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-claim-denial-reasons,02-insurance-info,02,claim-denial-reasons,보험금 지급 거절 사유,보험금 지급이 거절되는 흔한 사유,info,issue,지급 거절이 생기는 사유를 정리합니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-no-refund-type-meaning,02-insurance-info,02,no-refund-type-meaning,무해지환급형 보험 뜻,무해지환급형 보험 구조 이해하기,info,start,무해지환급형의 구조와 특징입니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-insurance-compare-disclosure,02-insurance-info,02,insurance-compare-disclosure,보험 비교 공시 사이트,보험 상품 비교 공시 사이트 활용,howto,tip,공식 비교 공시 사이트 활용법입니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-insurance-age-calculation,02-insurance-info,02,insurance-age-calculation,보험 나이 계산 방법,보험 나이는 왜 다르게 계산될까,info,tip,보험 나이 계산 방식을 설명합니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-fetus-child-insurance,02-insurance-info,02,fetus-child-insurance,태아보험과 어린이보험,태아보험과 어린이보험 차이 알아보기,info,tip,두 보험의 보장 시점 차이를 설명합니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-consultation-preparation,02-insurance-info,02,consultation-preparation,보험 상담 전 준비,보험 상담 전 준비하면 좋은 것,checklist,tip,상담 전 정리해 갈 항목입니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-premium-deferral-system,02-insurance-info,02,premium-deferral-system,보험료 납입 유예 제도,보험료 부담될 때 납입유예 제도,info,issue,납입이 어려울 때 쓰는 제도입니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-group-vs-individual,02-insurance-info,02,group-vs-individual,단체보험 개인보험 차이,회사 단체보험과 개인보험 차이,compare,tip,단체보험과 개인보험을 비교합니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-insurance-fraud-report,02-insurance-info,02,insurance-fraud-report,보험사기 유형과 신고,보험사기 유형과 신고 방법,info,issue,보험사기 유형과 신고 절차입니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-insurance-info-claim-deadline,02-insurance-info,02,claim-deadline,보험금 청구 기한,보험금 청구 소멸시효 알아두기,info,tip,청구 가능한 기한을 안내합니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
02-pension-system-expected-pension-lookup,02-pension-system,02,expected-pension-lookup,국민연금 예상 수령액 조회,내 국민연금 예상 수령액 조회하는 법,howto,tip,예상 연금액 조회 방법입니다.,claude_direct,2026-06-11T14:19:18.379135+00:00
